year,state,seat_code_no,seat_code,seat_name,candidate,party,coalition,winlose,is_uncontested,votes,majority,margin,voteshare,total_eligible,total_voted,total_majority,votes_spoilt,race_malay,race_chinese,race_indian,race_others,race_bumi_east_msia,data_errors
2004,Perlis,1,P1,Padang Besar,Datuk Seri Azmi Khalid,UMNO,BN,1,0,18322,9264,0.3383491599707816,0.6691745799853908,33899,27380,9264,672,0.84,0.11,0.01,0.03,0.0,
2004,Perlis,1,P1,Padang Besar,Wan Kharizal Wan Khazim,PAS,Pakatan,0,0,9058,-9264,-0.3383491599707816,0.3308254200146092,33899,27380,9264,672,0.84,0.11,0.01,0.03,0.0,
2004,Perlis,2,P2,Kangar,Datuk Radzi Sheikh Ahmad,UMNO,BN,1,0,22498,12548,0.38671104536489154,0.6933555226824457,40516,32448,12548,548,0.79,0.18,0.02,0.01,0.0,
2004,Perlis,2,P2,Kangar,Ishar Saad,PAS,Pakatan,0,0,9950,-12548,-0.38671104536489154,0.30664447731755423,40516,32448,12548,548,0.79,0.18,0.02,0.01,0.0,
2004,Perlis,3,P3,Arau,Datuk Seri Syed Razlan Syed Putra Jamalullail,UMNO,BN,1,0,17367,3243,0.10298180432504525,0.5514909021625226,38067,31491,3243,533,0.87,0.09,0.02,0.02,0.0,
2004,Perlis,3,P3,Arau,Datuk Dr Haron Din,PAS,Pakatan,0,0,14124,-3243,-0.10298180432504525,0.4485090978374774,38067,31491,3243,533,0.87,0.09,0.02,0.02,0.0,
2004,Kedah,4,P4,Langkawi,Datuk Abu Bakar Taib,UMNO,BN,1,0,16510,10772,0.4841783531103919,0.742089176555196,27980,22248,10772,560,0.9,0.07,0.03,0.0,0.0,
2004,Kedah,4,P4,Langkawi,Zubir Ahmad,PAS,Pakatan,0,0,5738,-10772,-0.4841783531103919,0.25791082344480404,27980,22248,10772,560,0.9,0.07,0.03,0.0,0.0,
2004,Kedah,5,P5,Jerlun,Datuk Abdul Rahman Ariffin,UMNO,BN,1,0,19123,2142,0.059328606248615114,0.5296643031243076,44148,36104,2142,718,0.9,0.09,0.0,0.01,0.0,
2004,Kedah,5,P5,Jerlun,Idris Ahmad,PAS,Pakatan,0,0,16981,-2142,-0.059328606248615114,0.47033569687569243,44148,36104,2142,718,0.9,0.09,0.0,0.01,0.0,
2004,Kedah,6,P6,Kubang Pasu,Datuk Mohd Johari Baharom,UMNO,BN,1,0,26657,13712,0.34624513913438715,0.6731225695671936,49594,39602,13712,919,0.84,0.1,0.04,0.01,0.0,
2004,Kedah,6,P6,Kubang Pasu,Dr Abdul Isa Ismail,PAS,Pakatan,0,0,12945,-13712,-0.34624513913438715,0.3268774304328064,49594,39602,13712,919,0.84,0.1,0.04,0.01,0.0,
2004,Kedah,7,P7,Padang Terap,Datuk Ghazali Ibrahim,UMNO,BN,1,0,14776,2172,0.07932797662527392,0.539663988312637,32412,27380,2172,693,0.92,0.02,0.01,0.06,0.0,
2004,Kedah,7,P7,Padang Terap,Zawawi Haji Ahmad,PAS,Pakatan,0,0,12604,-2172,-0.07932797662527392,0.46033601168736304,32412,27380,2172,693,0.92,0.02,0.01,0.06,0.0,
2004,Kedah,8,P8,Pokok Sena,Datuk Abdul Rahman Ibrahim,UMNO,BN,1,0,29740,7300,0.1399003449597547,0.5699501724798773,66072,52180,7300,855,0.78,0.19,0.03,0.01,0.0,
2004,Kedah,8,P8,Pokok Sena,Mahfuz Omar,PAS,Pakatan,0,0,22440,-7300,-0.1399003449597547,0.43004982752012266,66072,52180,7300,855,0.78,0.19,0.03,0.01,0.0,
2004,Kedah,9,P9,Alor Setar,Datuk Chor Chee Heung,MCA,BN,1,0,28379,14515,0.3436072248656582,0.6718036124328292,57313,42243,14515,828,0.58,0.36,0.05,0.0,0.0,
2004,Kedah,9,P9,Alor Setar,Siti Nor Abdul Hamid,PKR,Pakatan,0,0,13864,-14515,-0.3436072248656582,0.3281963875671709,57313,42243,14515,828,0.58,0.36,0.05,0.0,0.0,
2004,Kedah,10,P10,Kuala Kedah,Hashim Jahaya,UMNO,BN,1,0,36707,10214,0.1616139240506329,0.5808069620253165,78791,63200,10214,1023,0.77,0.21,0.02,0.0,0.0,
2004,Kedah,10,P10,Kuala Kedah,Mohamed Sabu,PAS,Pakatan,0,0,26493,-10214,-0.1616139240506329,0.41919303797468355,78791,63200,10214,1023,0.77,0.21,0.02,0.0,0.0,
2004,Kedah,11,P11,Pendang,Md Rozai Shafian,UMNO,BN,0,0,24380,-50,-0.001024380249948781,0.4994878098750256,57180,48810,50,383,0.88,0.07,0.01,0.05,0.0,
2004,Kedah,11,P11,Pendang,Dr Mohd Hayati Othman,PAS,Pakatan,1,0,24430,50,0.001024380249948781,0.5005121901249744,57180,48810,50,383,0.88,0.07,0.01,0.05,0.0,
2004,Kedah,12,P12,Jerai,Datuk Badruddin Amirudin,UMNO,BN,1,0,30154,10405,0.2085044987275314,0.6042522493637658,63886,49903,10405,1015,0.77,0.16,0.06,0.0,0.0,
2004,Kedah,12,P12,Jerai,Che Bin Arshad,PAS,Pakatan,0,0,19749,-10405,-0.2085044987275314,0.3957477506362343,63886,49903,10405,1015,0.77,0.16,0.06,0.0,0.0,
2004,Kedah,13,P13,Sik,Datuk Dr Wan Azmi Wan Ariffin,UMNO,BN,1,0,15357,319,0.010495147228162527,0.5052475736140812,37036,30395,319,1287,0.92,0.02,0.01,0.05,0.0,
2004,Kedah,13,P13,Sik,Azizan Abdul Razak,PAS,Pakatan,0,0,15038,-319,-0.010495147228162527,0.49475242638591876,37036,30395,319,1287,0.92,0.02,0.01,0.05,0.0,
2004,Kedah,14,P14,Merbok,Datuk Zainuddin Maidin,UMNO,BN,1,0,29607,15445,0.35287532271699146,0.6764376613584957,57922,43769,15445,1142,0.63,0.19,0.18,0.01,0.0,
2004,Kedah,14,P14,Merbok,Saiful Izham Ramli,PKR,Pakatan,0,0,14162,-15445,-0.35287532271699146,0.32356233864150424,57922,43769,15445,1142,0.63,0.19,0.18,0.01,0.0,
2004,Kedah,15,P15,Sungai Petani,Datuk Mahadzir Mohd Khir,UMNO,BN,1,0,36067,17502,0.3203616927807878,0.6601808463903939,70920,54632,17502,1007,0.58,0.31,0.11,0.01,0.0,
2004,Kedah,15,P15,Sungai Petani,Zamri Yusof,PKR,Pakatan,0,0,18565,-17502,-0.3203616927807878,0.3398191536096061,70920,54632,17502,1007,0.58,0.31,0.11,0.01,0.0,
2004,Kedah,16,P16,Baling,Datuk Dr Mashitah Ibrahim,UMNO,BN,1,0,32661,4229,0.0692223331641923,0.5346111665820962,74698,61093,4229,1109,0.87,0.06,0.05,0.01,0.0,
2004,Kedah,16,P16,Baling,Taib Azamudden Md Taib,PAS,Pakatan,0,0,28432,-4229,-0.0692223331641923,0.4653888334179038,74698,61093,4229,1109,0.87,0.06,0.05,0.01,0.0,
2004,Kedah,17,P17,Padang Serai,Lim Bee Kau,MCA,BN,1,0,26269,10316,0.2443276017242196,0.6221638008621098,53925,42222,10316,1075,0.53,0.24,0.23,0.01,0.0,
2004,Kedah,17,P17,Padang Serai,Saifuddin Nasution Ismail,PKR,Pakatan,0,0,15953,-10316,-0.2443276017242196,0.3778361991378902,53925,42222,10316,1075,0.53,0.24,0.23,0.01,0.0,
2004,Kedah,18,P18,Kulim Bandar Baharu,Datuk Paduka Abdul Kadir Sheikh Fadzir,UMNO,BN,1,0,22556,7998,0.21549819475130677,0.6077490973756534,50024,37114,7998,1181,0.67,0.21,0.12,0.0,0.0,
2004,Kedah,18,P18,Kulim Bandar Baharu,Alwi Mohamed Yusop,PKR,Pakatan,0,0,14558,-7998,-0.21549819475130677,0.3922509026243466,50024,37114,7998,1181,0.67,0.21,0.12,0.0,0.0,
2004,Kelantan,19,P19,Tumpat,Mat Nawawi Mat Jusoh,UMNO,BN,0,0,26099,-1820,-0.033692472879410566,0.4831537635602947,70810,54018,1820,1072,0.92,0.03,0.01,0.04,0.0,
2004,Kelantan,19,P19,Tumpat,Datuk Kamarudin Jaafar,PAS,Pakatan,1,0,27919,1820,0.033692472879410566,0.5168462364397053,70810,54018,1820,1072,0.92,0.03,0.01,0.04,0.0,
2004,Kelantan,20,P20,Pengkalan Chepa,Datuk Dr Nik Mohd Zain Omar,UMNO,BN,0,0,14399,-6222,-0.17766990291262136,0.4111650485436893,44844,35020,6222,818,0.97,0.02,0.0,0.0,0.0,
